image_path,reference,infer,reference_tokens_jieba,infer_tokens_jieba,reference_tokens,infer_tokens,BLEU1,BLEU2,BLEU2s,BLEU3,BLEU3s,BLEU4,BLEU4s,METEOR,R-1R,R-1P,R-1F,R-2R,R-2P,R-2F,R-LR,R-LP,R-LF,jiebaB1,jiebaB2,jiebaB2s,jiebaB3,jiebaB3s,jiebaB4,jiebaB4s,jiebaM,jiebaR-1R,jiebaR-1P,jiebaR-1F,jiebaR-2R,jiebaR-2P,jiebaR-2F,jiebaR-LR,jiebaR-LP,jiebaR-LF,grs
D:\code\vit-gpt2\bigdata\geoimage_data\geo_607.png,黑云母片岩的锆石阴极发光图,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1176.png,铝土矿主要矿物形貌特征及赋存形态的图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_921.png,动物群的对比图,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_482.png,表性阴极发光图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1892.png,蛇绿岩和花岗岩显微结构照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1421.png,辉长辉绿岩脉群岩相学特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1567.png,缘流纹岩的野外露头和镜下照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_905.png,铀矿化与多金属矿化关系照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1889.png,岩芯样品的典型镜下照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1333.png,杂岩两期构造变形宏观特征及构造置换,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1399.png,石英的阴极发光图,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_483.png,岩石的照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_439.png,曲开隆洼金矿照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1778.png,表性矿石手标本及微观地质特征照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_123.png,标本及显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1944.png,黄铁矿的形态及分布特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_361.png,典型矿石手标本和镜下照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1884.png,岩体中电气石显微照片和照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1357.png,露头的滑脱变形构造,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1580.png,表性岩心显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1047.png,显微照片和扫描电镜图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1009.png,子韧性剪切带野外照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_194.png,锆石的阴极发光图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_485.png,富闪深成岩壳幔岩浆混合成因的证据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_706.png,石榴石变斑晶光成分扫描图,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1792.png,样品中典型碎屑锆石的阴极发光图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_322.png,变质辉长岩的岩相学照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1169.png,铝粘土矿主要矿物扫描电镜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_266.png,岩体岩石学特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_464.png,分析样品显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_67.png,白云岩的阴极发光照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1501.png,花岗闪长岩和二长花岗斑岩手标本及显微镜下特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1606.png,伟晶岩脉剖面素描图,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1555.png,花岗岩手标本及云母镜下照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1138.png,野外宏观构造特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_432.png,高级泥化蚀变照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1379.png,花岗斑岩脉和白云母花岗斑岩脉的特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_411.png,云质亮晶砂屑灰岩龙井染色片拼版照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1467.png,闪长岩的锆石图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_843.png,角闪石结构的显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1244.png,变质杂岩带斜长角闪岩野外和镜下照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1600.png,流纹岩与闪长岩显微镜下照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_722.png,各类型岩石的镜下特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_394.png,康金拉方辉橄榄岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_479.png,表性锆石的图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1498.png,稀土元素富集相及相关矿物的背散射图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1546.png,样品切片横截面的透射电镜和分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1624.png,表性手标本及显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1662.png,红化蚀变带蚀变长石及显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_480.png,表性锆石的图像年龄及,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_677.png,变形花岗岩脉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1449.png,熔岩台地野外照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_619.png,标本的照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1393.png,凝灰岩的锆石阴极发光图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_261.png,岩石显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1037.png,石榴角闪岩与围岩的特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_240.png,表性岩墙的露头照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_900.png,沥青铀矿图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_787.png,储层主要特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1223.png,岩体的锆石阴极发光图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1061.png,花岗质岩体野外特征及镜下照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_812.png,矿石组构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_365.png,矿石类型和主要矿物组合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1240.png,花岗片麻岩的显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1427.png,锰矿体的矿石图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1041.png,伸展褶劈理的显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_701.png,石榴石十字石蓝晶石白云母片岩显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_453.png,二维地震剖面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_552.png,矿石的手标本及镜下特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_71.png,岩石露头的照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_548.png,花岗岩脉显微构造特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_259.png,钾钠质流纹岩的显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_51.png,二叠纪玄武岩的显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_532.png,古生物组合及生物亲缘性对比,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1252.png,花岗岩的野外特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_617.png,正长岩中锆石的阴极发光图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_332.png,杂岩的花岗岩中可见麻粒岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1630.png,镜下特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1525.png,花岗岩野外露头和显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1936.png,表性锆石阴极发光图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_429.png,热液角砾岩标本照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_904.png,深部多金属矿化地质特征照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1692.png,正断层地貌现象,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
